,author_id,count,sum,prop,Nachname,Vorname,Fraktion,Twitter-Name,region,"Name, Vorname",Vorname Nachname,handle,party,parltype,person__in_parlperiod,lcasehandle
157,845282647261761536,416,0,0.0,Mindrup,Klaus,,,Bund,"Mindrup, Klaus",,KlausMindrup,spd,Bund,"[18, 19]",klausmindrup
158,845213960060243968,16,0,0.0,Scheer,Nina,,,Bund,"Scheer, Nina",,NinaScheer_SPD,spd,Bund,"[18, 19]",ninascheer_spd
159,828943222432997376,76,0,0.0,Schinnenburg,Wieland,,,Bund,"Schinnenburg, Wieland",,WSchinnenburg,fdp,Bund,[19],wschinnenburg
160,828623998921629696,317,0,0.0,Beer,Nicola,,,Bund,"Beer, Nicola",,nicolabeerfdp,fdp,Bund,[19],nicolabeerfdp
161,827090742162100224,290,0,0.0,Schüle,Manja,,,Bund,"Schüle, Manja",,ManjaSchuele,spd,Bund,[19],manjaschuele
162,825019912083038208,34,0,0.0,Staffler,Katrin,,,Bund,"Staffler, Katrin",,katrin_staffler,cducsu,Bund,[19],katrin_staffler
163,916639458409242624,182,0,0.0,Maier,Jens,,,Bund,"Maier, Jens",,JensMaierAfD,afd,Bund,[19],jensmaierafd
164,920193967937019904,61,0,0.0,Wirth,Christian,,,Bund,"Wirth, Christian",,ChrWirthMdB,afd,Bund,[19],chrwirthmdb
165,819914159915667456,8,0,0.0,Pilsinger,Stephan,,,Bund,"Pilsinger, Stephan",,StephPilsinger,cducsu,Bund,[19],stephpilsinger
166,925703909825548288,99,0,0.0,Freihold,Brigitte,,,Bund,"Freihold, Brigitte",,MdB_Freihold,linke,Bund,[19],mdb_freihold
167,997138767763750912,148,0,0.0,Herbrand,Markus,,,Bund,"Herbrand, Markus",,HerbrandMarkus,fdp,Bund,[19],herbrandmarkus
168,995228494023086080,207,0,0.0,Klein,Karsten,,,Bund,"Klein, Karsten",,MdBKlein,fdp,Bund,[19],mdbklein
169,988765113606918144,153,0,0.0,Lechte,Ulrich,,,Bund,"Lechte, Ulrich",,ulrichlechte,fdp,Bund,[19],ulrichlechte
170,984735466783232000,1499,0,0.0,Rottmann,Manuela,,,Bund,"Rottmann, Manuela",,ManuelaRottman,gruene,Bund,[19],manuelarottman
171,984048002967982080,287,0,0.0,Müller-Rosentritt,Frank,,,Bund,"Müller-Rosentritt, Frank",,theliberalfrank,fdp,Bund,[19],theliberalfrank
172,976107205849206784,117,0,0.0,Aggelidis,Grigorios,,,Bund,"Aggelidis, Grigorios",,aggelidis_fdp,fdp,Bund,[19],aggelidis_fdp
