hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
linkes,2,0,2,0,0,0,0,0
angeblich,2,0,1,1,0,0,0,0
anfang,2,0,0,1,0,0,1,0
lipa,2,0,1,1,0,0,0,0
lohnen,2,0,1,0,0,1,0,0
als,2,0,0,0,0,1,1,0
aktuell,2,1,0,0,0,1,0,0
abgeordnete,2,0,1,0,1,0,0,0
ziehen,2,0,1,1,0,0,0,0
zu,2,0,2,0,0,0,0,0
adac,2,1,1,0,0,0,0,0
lösen,2,0,1,0,0,1,0,0
abstehen,2,0,0,2,0,0,0,0
lösung,2,0,2,0,0,0,0,0
zulassung,2,0,0,0,0,1,1,0
abgeordnetenhaus,2,0,1,0,1,0,0,0
volksentscheid,2,2,0,0,0,0,0,0
georg,2,0,2,0,0,0,0,0
verstehen,2,0,1,0,1,0,0,0
blamegame,2,0,0,2,0,0,0,0
jubeln,2,0,2,0,0,0,0,0
bild,2,0,1,1,0,0,0,0
kindergeld,2,0,2,0,0,0,0,0
jugendliche,2,0,0,2,0,0,0,0
bringen,2,0,0,2,0,0,0,0
biontech,2,0,0,1,1,0,0,0
bis,2,1,0,1,0,0,0,0
juli,2,0,1,1,0,0,0,0
bundeswehr,2,0,2,0,0,0,0,0
klappen,2,0,1,1,0,0,0,0
bieten,2,0,1,1,0,0,0,0
karatepe,2,1,0,1,0,0,0,0
klar,2,2,0,0,0,0,0,0
jung,2,0,2,0,0,0,0,0
verteilen,2,0,2,0,0,0,0,0
vertrag,2,1,0,0,1,0,0,0
blicken,2,0,0,1,0,0,1,0
klargehtdas,2,0,0,2,0,0,0,0
bürokratie,2,0,2,0,0,0,0,0
